actuator_id,manufacturer,model,kind,motor_id,gearbox_id,driver_id,driver_included,Reducer,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Max_Momentary_Torque_Nm,Rated_Speed_RPM,Max_Speed_RPM,Rated_Power_W,Weight_kg,Diameter_mm,Length_mm,IP,Communication,Price_EUR,Output_Kt_Nm_per_A,Source,Notes
zeroerr-erob80i-17-80,ZeroErr,eRob80i (17-80),commercial,zeroerr-m-0-134-0-76-8-1,zeroerr-erob80i-17-80-gbx,,yes,strain wave 80:1,48,29,56,113,,37.5,126,1.03,80,64.2,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=35Nm. Motor V5_MC2 16-pole. Module rated I 4.1A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob80i-17-100,ZeroErr,eRob80i (17-100),commercial,zeroerr-m-0-134-0-76-8-1,zeroerr-erob80i-17-100-gbx,,yes,strain wave 100:1,48,31,70,143,,30,126,1.03,80,64.2,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=51Nm. Motor V5_MC2 16-pole. Module rated I 4.1A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob80i-17-120,ZeroErr,eRob80i (17-120),commercial,zeroerr-m-0-134-0-76-8-1,zeroerr-erob80i-17-120-gbx,,yes,strain wave 120:1,48,31,70,112,,25,126,1.03,80,64.2,IP54,EtherCAT / CANopen / Modbus,,0.134,https://www.zeroerr.com/rotary_actuators/erob80i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=51Nm. Motor V5_MC2 16-pole. Module rated I 4.1A. Enc 19-bit. NOTE raw anomaly: page lists max momentary 112Nm for 17-120, LOWER than 17-100 (143Nm) - captured as shown. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob80i | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob90i-20-50,ZeroErr,eRob90i (20-50),commercial,zeroerr-m-0-14-0-31-8-3,zeroerr-erob90i-20-50-gbx,,yes,strain wave 50:1,48,33,73,127,,60,314,1.506,90,75.9,IP54,EtherCAT / CANopen / Modbus,1218,0.14,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=44Nm. Motor V3_MC2 16-pole (page now V6=314W; UM V3.42 tops at V3_MC2=293W): 0.85Nm@3300rpm, L 0.86mH. Module rated I 6.7A. Earlier V3_MC1=10-pole Kt0.088/R0.22/400W. Encoder 19/20-bit; hollow bore 18mm; with-brake wt 1.639kg. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob90i | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob90i-20-80,ZeroErr,eRob90i (20-80),commercial,zeroerr-m-0-14-0-31-8-3,zeroerr-erob90i-20-80-gbx,,yes,strain wave 80:1,48,44,96,165,,37.5,314,1.506,90,75.9,IP54,EtherCAT / CANopen / Modbus,1218,0.14,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=61Nm. Motor V3_MC2 16-pole. Module rated I 6.7A. Enc 19/20-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob90i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob90i-20-100,ZeroErr,eRob90i (20-100),commercial,zeroerr-m-0-14-0-31-8-3,zeroerr-erob90i-20-100-gbx,,yes,strain wave 100:1,48,52,107,191,,30,314,1.506,90,75.9,IP54,EtherCAT / CANopen / Modbus,1218,0.14,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=64Nm. Motor V3_MC2 16-pole. Module rated I 6.7A. Enc 19/20-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob90i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob90i-20-120,ZeroErr,eRob90i (20-120),commercial,zeroerr-m-0-14-0-31-8-3,zeroerr-erob90i-20-120-gbx,,yes,strain wave 120:1,48,52,113,191,,25,314,1.506,90,75.9,IP54,EtherCAT / CANopen / Modbus,1218,0.14,https://www.zeroerr.com/rotary_actuators/erob90i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=64Nm. Motor V3_MC2 16-pole. Module rated I 6.7A. Enc 19/20-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob90i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob110i-25-50,ZeroErr,eRob110i (25-50),commercial,zeroerr-m-0-134-0-084-8-1,zeroerr-erob110i-25-50-gbx,,yes,strain wave 50:1,48,51,127,242,,60,723,2.57,110,80.2,IP54,EtherCAT / CANopen / Modbus,1270,0.134,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=72Nm. Motor V6_MC2 16-pole (current-gen, 723W matches page): 2.3Nm@3000rpm, L 0.16mH. Module rated I 18.6A (Table 3-1). With-brake wt 2.68kg. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob110i | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob110i-25-80,ZeroErr,eRob110i (25-80),commercial,zeroerr-m-0-134-0-084-8-1,zeroerr-erob110i-25-80-gbx,,yes,strain wave 80:1,48,82,178,332,,37.5,723,2.57,110,80.2,IP54,EtherCAT / CANopen / Modbus,1270,0.134,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=113Nm. Motor V6_MC2 16-pole. Module rated I 18.6A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob110i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob110i-25-100,ZeroErr,eRob110i (25-100),commercial,zeroerr-m-0-134-0-084-8-1,zeroerr-erob110i-25-100-gbx,,yes,strain wave 100:1,48,87,204,369,,30,723,2.57,110,80.2,IP54,EtherCAT / CANopen / Modbus,1270,0.134,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=140Nm. Motor V6_MC2 16-pole. Module rated I 18.6A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob110i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob110i-25-120,ZeroErr,eRob110i (25-120),commercial,zeroerr-m-0-134-0-084-8-1,zeroerr-erob110i-25-120-gbx,,yes,strain wave 120:1,48,87,217,395,,25,723,2.57,110,80.2,IP54,EtherCAT / CANopen / Modbus,1270,0.134,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=140Nm. Motor V6_MC2 16-pole. Module rated I 18.6A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob110i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob110i-25-160,ZeroErr,eRob110i (25-160),commercial,zeroerr-m-0-134-0-084-8-1,zeroerr-erob110i-25-160-gbx,,yes,strain wave 160:1,48,87,229,408,,18.75,723,2.57,110,80.2,IP54,EtherCAT / CANopen / Modbus,1270,0.134,https://www.zeroerr.com/rotary_actuators/erob110i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=140Nm. Motor V6_MC2 16-pole. Module rated I 18.6A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob110i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob142i-32-50,ZeroErr,eRob142i (32-50),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob142i-32-50-gbx,,yes,strain wave 50:1,48,99,281,497,,40,1000,6.49,142,133.9,IP54,EtherCAT / CANopen / Modbus,1340,0.153,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),"Avg-load torque=140Nm. Motor V3_MC1 10-pole (matches Table 3-1 26A): 4.78Nm@2000rpm, L 0.37mH. Alt V4_MC2=Kt0.22/Kv13.5/R0.059/22A/71Apk. Module rated I 26A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob142i | datasheet:eRob_i-type_parameter_sheet.pdf"
zeroerr-erob142i-32-80,ZeroErr,eRob142i (32-80),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob142i-32-80-gbx,,yes,strain wave 80:1,48,153,395,738,,25,1000,6.49,142,133.9,IP54,EtherCAT / CANopen / Modbus,1340,0.153,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=217Nm. Motor V3_MC1 10-pole. Module rated I 26A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob142i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob142i-32-100,ZeroErr,eRob142i (32-100),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob142i-32-100-gbx,,yes,strain wave 100:1,48,178,433,841,,20,1000,6.49,142,133.9,IP54,EtherCAT / CANopen / Modbus,1340,0.153,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=281Nm. Motor V3_MC1 10-pole. Module rated I 26A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob142i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob142i-32-120,ZeroErr,eRob142i (32-120),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob142i-32-120-gbx,,yes,strain wave 120:1,48,178,459,892,,16.7,1000,6.49,142,133.9,IP54,EtherCAT / CANopen / Modbus,1340,0.153,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=281Nm. Motor V3_MC1 10-pole. Module rated I 26A. Enc 19-bit. Ratio not in existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob142i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob142i-32-160,ZeroErr,eRob142i (32-160),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob142i-32-160-gbx,,yes,strain wave 160:1,48,178,484,892,,12.5,1000,6.49,142,133.9,IP54,EtherCAT / CANopen / Modbus,1340,0.153,https://www.zeroerr.com/rotary_actuators/erob142i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),Avg-load torque=281Nm. Motor V3_MC1 10-pole. Module rated I 26A. Enc 19-bit. Matches existing DB. | url:https://www.zeroerr.com/rotary_actuators/erob142i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob170i-40-50,ZeroErr,eRob170i (40-50),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob170i-40-50-gbx,,yes,strain wave 50:1,48,137,402,686,,40,1000,9.29,170,144.9,IP54,EtherCAT / CANopen / Modbus,2015,0.153,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),NEW size not in existing DB. Avg-load torque=196Nm. Motor 10-pole 1000W@2000rpm (same motor as 142i). Version uncertain: listed=V3_MC1 (Kt0.153/Kv12.2/R0.069/26A/56Apk); alt V3_MC2 (Kt0.22/Kv13.5/R0.059/22A/71Apk). Module rated I 45A (Table 3-1). Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob170i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob170i-40-80,ZeroErr,eRob170i (40-80),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob170i-40-80-gbx,,yes,strain wave 80:1,48,206,519,980,,25,1000,9.29,170,144.9,IP54,EtherCAT / CANopen / Modbus,2015,0.153,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),NEW size not in existing DB. Avg-load torque=284Nm. Motor 10-pole 1000W@2000rpm. Version uncertain (V3_MC1/V3_MC2). Module rated I 45A. Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob170i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob170i-40-100,ZeroErr,eRob170i (40-100),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob170i-40-100-gbx,,yes,strain wave 100:1,48,265,568,1080,,20,1000,9.29,170,144.9,IP54,EtherCAT / CANopen / Modbus,2015,0.153,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),NEW size not in existing DB. Avg-load torque=372Nm. Motor 10-pole 1000W@2000rpm. Version uncertain (V3_MC1/V3_MC2). Module rated I 45A. Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob170i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob170i-40-120,ZeroErr,eRob170i (40-120),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob170i-40-120-gbx,,yes,strain wave 120:1,48,294,617,1180,,16.7,1000,9.29,170,144.9,IP54,EtherCAT / CANopen / Modbus,2015,0.153,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),NEW size not in existing DB. Avg-load torque=451Nm. Motor 10-pole 1000W@2000rpm. Version uncertain (V3_MC1/V3_MC2). Module rated I 45A. Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob170i | datasheet:eRob_i-type_parameter_sheet.pdf
zeroerr-erob170i-40-160,ZeroErr,eRob170i (40-160),commercial,zeroerr-m-0-153-0-069-12-2,zeroerr-erob170i-40-160-gbx,,yes,strain wave 160:1,48,294,647,1180,,12.5,1000,9.29,170,144.9,IP54,EtherCAT / CANopen / Modbus,2015,0.153,https://www.zeroerr.com/rotary_actuators/erob170i ; UM V3.42 (eRob_User_Manual_V3.42.pdf),NEW size not in existing DB. Avg-load torque=451Nm. Motor 10-pole 1000W@2000rpm. Version uncertain (V3_MC1/V3_MC2). Module rated I 45A. Enc 19-bit. | url:https://www.zeroerr.com/rotary_actuators/erob170i | datasheet:eRob_i-type_parameter_sheet.pdf
mab-robotics-ma-h,MAB Robotics,MA-H,commercial,,mab-robotics-ma-h-gbx,,yes,harmonic 50:1/80:1/100:1 strain-wave,12-48,,151,,,100,,0.54,73,62,IP66,CAN-FD / CANopen,1609,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Frameless BLDC + strain-wave gear + MD-series driver. Page publishes only a COMBINED RANGE: 'Torque 4-151 Nm (rated/peak)' and 'Max speed 35-100 RPM' spanning the 50:1/80:1/100:1 options; per-ratio rated/peak NOT split out. Recorded Peak=151 (top config, 100:1) and Max_Speed=100 (lowest ratio 50:1); rated left blank (not published per config). Accuracy <1.5 / repeatability +/-0.1 arcmin. 14-bit motor encoder + built-in ME-am output encoder; optional RLS AksIM-2 17-20bit output encoder; optional electromagnetic brake. Base config 1609 EUR; configs range up to 2449 EUR. | url:https://www.mabrobotics.pl/product-page/ma-h"
mab-robotics-ma-hs-h-ip66,MAB Robotics,MA-hs-h-IP66,commercial,,mab-robotics-ma-hs-h-ip66-gbx,,yes,harmonic 50:1 strain-wave,12-48,28,60,,,90,,1.25,102,91,IP66,CAN-FD / CANopen,2599,,MAB Robotics mabrobotics.pl fetched 2026-07-23,Hollow-shaft harmonic actuator. Torque 28/60 Nm (rated/peak); max speed 90 RPM; 1:50 strain-wave. Dual 17-bit absolute encoders (motor side + output shaft). Optional electromagnetic brake and/or slip ring for wires. Accuracy <1.5 / rep +/-0.1 arcmin. Config prices 2599 (base) / 2969 / 3299 EUR; schema.org headline Offer = 3299 (default/top variant). Rated power NOT published on page (existing DB listed 250W - unverified). Real product slug is ma-hs-ip66 (ma-hs-h-ip66 404s). | url:https://www.mabrobotics.pl/product-page/ma-hs-ip66
mab-robotics-ma-p-100-ip66-kv60,MAB Robotics,MA-p-100-IP66 (KV60),commercial,mab-robotics-m-x-x-60,mab-robotics-ma-p-100-ip66-kv60-gbx,,yes,planetary 9:1,12-48,18,48,,,228,,1.1,103,79.6,IP66,CAN-FD / CANopen,1559,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Planetary actuator, 9:1, backlash 9 arcmin (0.15 deg). KV60 motor winding: 18/48 Nm (rated/peak), 228 RPM max at 48V. Kv=60 taken from the 'KV60' winding-variant name (rpm/V, reference frame unstated). 14-bit motor encoder + built-in ME-am output encoder; options: MAB SLIM electromagnetic brake, RLS AksIM-2 17-20bit output encoder. 48VDC and 60VDC input versions. Cross-roller output bearing. Base 1559 EUR (configs to ~1898 EUR). | url:https://www.mabrobotics.pl/product-page/ma-p-100-ip66"
mab-robotics-ma-p-100-ip66-kv100,MAB Robotics,MA-p-100-IP66 (KV100),commercial,mab-robotics-m-x-x-100,mab-robotics-ma-p-100-ip66-kv100-gbx,,yes,planetary 9:1,12-48,15,38,,,421,,1.1,103,79.6,IP66,CAN-FD / CANopen,1559,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Same body/price as KV60 variant. KV100 motor winding: 15/38 Nm (rated/peak), 421 RPM max at 48V. Kv=100 from the 'KV100' winding-variant name (rpm/V, reference unstated). 9:1 planetary, backlash 9 arcmin. | url:https://www.mabrobotics.pl/product-page/ma-p-100-ip66"
mab-robotics-ma-p-100-30,MAB Robotics,MA-p-100-30,commercial,,mab-robotics-ma-p-100-30-gbx,,yes,planetary 30:1,12-48,50,150,,,96,,1.1,98,67,,CAN-FD / CANopen,897.56,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Planetary actuator 30:1, backlash 18 arcmin (0.3 deg). 50/150 Nm (rated/peak), 96 RPM max at 48V. Absolute encoder on motor side (before reduction) + additional absolute encoder on output shaft. 48VDC and 60VDC input versions. IP rating NOT stated on page. Cross-roller output bearing. 897.56 EUR (base; ~946.56 with brake, ~1376-1425 for 60V configs). Legacy URL slug ak10-30-cubemars-t-motor. | url:https://www.mabrobotics.pl/product-page/ak10-30-cubemars-t-motor"
mab-robotics-ma-p-45-10,MAB Robotics,MA-p-45-10,commercial,,mab-robotics-ma-p-45-10-gbx,,yes,planetary 10:1,12-48,2.5,7,,,300,,0.25,53,41.9,,CAN-FD / CANopen,303.41,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Compact planetary actuator 10:1, backlash 18 arcmin (0.3 deg). 2.5/7 Nm (rated/peak), 300 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope (smaller MA-p family). | url:https://www.mabrobotics.pl/product-page/ma-p-45-10"
mab-robotics-ma-p-45-36,MAB Robotics,MA-p-45-36,commercial,,mab-robotics-ma-p-45-36-gbx,,yes,planetary 36:1,12-48,8,24,,,80,,0.34,55,54.4,,CAN-FD / CANopen,357.26,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Planetary actuator 36:1, backlash 18 arcmin (0.3 deg). 8/24 Nm (rated/peak), 80 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope. | url:https://www.mabrobotics.pl/product-page/ma-p-45-36"
mab-robotics-ma-p-40-10,MAB Robotics,MA-p-40-10,commercial,,mab-robotics-ma-p-40-10-gbx,,yes,planetary 10:1,12-48,1.3,4.1,,,700,,0.17,53,35.9,,CAN-FD / CANopen,279.69,,MAB Robotics mabrobotics.pl fetched 2026-07-23,"Smallest MA-p planetary actuator 10:1, backlash 18 arcmin (0.3 deg). 1.3/4.1 Nm (rated/peak), 700 RPM max at 48V. 14-bit motor-side absolute encoder. IP not stated. ADDITIONAL find beyond original scope. | url:https://www.mabrobotics.pl/product-page/ma-p-40-10"
robstride-rs00,RobStride,RS00,commercial,robstride-m-1-48-x-9-5,robstride-rs00-gbx,,yes,10:1 planetary,24-60,5,14,,260,315,170,0.310,57,51,,CAN 1Mbps (CANopen),142.95,1.48,RobStride RS00 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; square 57x57x51mm; dual 14-bit magnetic encoders; no-load current 0.5Arms; currents are Apk(peak); IP not stated on datasheet; rated load tested @100rpm; 28 poles | url:https://www.robstride.com/products/robStride00 | datasheet:datasheets/robstride-steadywin/robstride_RS00_user_manual.pdf
robstride-rs01,RobStride,RS01,commercial,robstride-m-1-22-0-58-9-6,robstride-rs01-gbx,,yes,7.75:1 planetary,24-48,6,17,,100,315,170,0.380,78.5,40,IP52 (IP67 option),CAN 1Mbps (CANopen),151.75,1.22,RobStride RS01 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=36 (per OpenELAB); square 78.5x78.5x40mm; SINGLE 14-bit magnetic encoder; inductance 187-339uH; currents Apk(peak); 28 poles | url:https://www.robstride.com/products/robStride01 | datasheet:datasheets/robstride-steadywin/robstride_RS01_user_manual.pdf
robstride-rs02,RobStride,RS02,commercial,robstride-m-1-22-x-9-6,robstride-rs02-gbx,,yes,7.75:1 planetary,24-60,6,17,,360,410,170,0.405,78.5,45.5,IP52 (IP67 option),CAN 1Mbps (CANopen),164.95,1.22,RobStride RS02 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; dual 14-bit magnetic encoders; IP67 variant available (separate manual RS02-IP67); currents Apk(peak); 28 poles | url:https://www.robstride.com/products/robStride02 | datasheet:datasheets/robstride-steadywin/robstride_RS02_user_manual.pdf
robstride-rs03,RobStride,RS03,commercial,robstride-m-2-36-0-39-17,robstride-rs03-gbx,,yes,9:1 planetary,24-60,20,60,,100,195,380,0.880,106,56,IP52 (IP67 option),CAN 1Mbps (CANopen),247.45,2.36,RobStride RS03 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; manual voltage range 24-60V (OpenELAB lists 15-60V); dual magnetic encoders; back-EMF 17Vrms/kRPM; inductance 0.275mH; currents Apk(peak); 42 poles | url:https://www.robstride.com/products/robStride03 | datasheet:datasheets/robstride-steadywin/robstride_RS03_user_manual.pdf
robstride-rs04,RobStride,RS04,commercial,robstride-m-2-1-0-16-16-9,robstride-rs04-gbx,,yes,9:1 planetary,15-60,40,120,,167,200,700,1.420,120,56,IP52 (IP67 option),CAN 1Mbps (CANopen),280.45,2.1,RobStride RS04 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; dual 14-bit magnetic encoders; no-load current 2Arms; inductance 0.211mH; currents Apk(peak); 42 poles | url:https://www.robstride.com/products/robStride04 | datasheet:datasheets/robstride-steadywin/robstride_RS04_user_manual.pdf
robstride-rs05,RobStride,RS05,commercial,robstride-m-0-94-x-7-4,robstride-rs05-gbx,,yes,7.75:1 planetary,15-60,1.6,5.5,,,480,,0.191,46,44,,CAN 1Mbps (CANopen),126.45,0.94,RobStride RS05 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; dual 14-bit encoders; no-load 480rpm; rated load 1.6Nm tested @100rpm; no-load current 0.14Arms; rated power not published; currents Apk(peak); pole pairs not stated | url:https://www.robstride.com/products/robStride05 | datasheet:datasheets/robstride-steadywin/robstride_RS05_user_manual.pdf
robstride-rs06,RobStride,RS06,commercial,robstride-m-1-09-x-7-6,robstride-rs06-gbx,,yes,9:1 planetary,15-60,11,36,,,480,,0.621,88,49,,CAN 1Mbps (CANopen),230.95,1.09,RobStride RS06 User Manual (github.com/RobStride/Product_Information); OpenELAB guide; AliExpress official store 1103506059,Rated V=48; no-load 480rpm; rated load 11Nm tested @100rpm; no-load current 0.98Arms; rated power not published; currents Apk(peak); 28 poles | url:https://www.robstride.com/products/robStride06 | datasheet:datasheets/robstride-steadywin/robstride_RS06_user_manual.pdf
steadywin-gim3505-8,SteadyWin,GIM3505-8,commercial,steadywin-m-0-44-5-473-16-6667,steadywin-gim3505-8-gbx,,yes,8:1 planetary,12~40,0.67,1.79,,230,400,36.72,0.097,43,30,IP54,CAN&485,64.61,0.44,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3505-8-planetary-gear-motor,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: NO; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | per-model PDF pack: datasheets/robstride-steadywin/steadywin_docs/Planetary Reduction Motor/GIM3505-8/ | url:https://steadywin-motor.com/products/gim3505-8 | datasheet:datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx
steadywin-gim3510-8,SteadyWin,GIM3510-8,commercial,steadywin-m-0-26-0-515-24-5,steadywin-gim3510-8-gbx,,yes,8:1 planetary,12~40,1,6.28,,534,588,79.2,0.2596,46,51.5,IP54,CAN&485,88.24,0.26,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-8-robot-gear-motor-reducer-planetary,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: YES; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | url:https://steadywin-motor.com | datasheet:datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx
steadywin-gim3510-64,SteadyWin,GIM3510-64,commercial,steadywin-m-2-84-0-515-3-0833,steadywin-gim3510-64-gbx,,yes,64:1 planetary,12~40,9,50,,67,74,81.84,0.5072,46,77.5,IP54,CAN&485,126.52,2.84,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim3510-64-compact-can-servo-for-robotics,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: YES; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | url:https://steadywin-motor.com | datasheet:datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx
steadywin-gim4305-10,SteadyWin,GIM4305-10,commercial,steadywin-m-0-39-1-113-16-75,steadywin-gim4305-10-gbx,,yes,10:1 planetary,12~40,1.05,3.82,,312,402,52.32,0.15,53,32,IP54,CAN&485,,0.39,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download),Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: NO; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | url:https://steadywin-motor.com | datasheet:datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx
steadywin-gim4310-10,SteadyWin,GIM4310-10,commercial,steadywin-m-2-61-1-961-8-8333,steadywin-gim4310-10-gbx,,yes,10:1 planetary,12~40,1.63,7.98,,101,212,31.2,0.227,53,38,IP54,CAN&485,95.77,2.61,SteadyWin Planetary Reduction Motor Selection Table (official steadywin-motor.com document-download); reseller https://openelab.io/products/steadywin-gim4310-10-joint-motor,Rated V=24; dims/weight incl. driver; driver encoder 14bit; 2nd output-shaft encoder: NO; backlash 15arcmin; steel planetary gear; rated/peak current units per table ('A') | per-model PDF pack: datasheets/robstride-steadywin/steadywin_docs/Planetary Reduction Motor/GIM4310-10/ | url:https://steadywin-motor.com | datasheet:datasheets/robstride-steadywin/steadywin_planetary_reduction_motor_selection_table.xlsx
