gearbox_id,manufacturer,model,source_type,parent_actuator_id,Type,Ratio_num,Eff_Fwd,Eff_Back,Backlash_arcmin,Rated_Output_Torque_Nm,Peak_Output_Torque_Nm,Max_Input_Speed_RPM,Mass_kg,Diameter_mm,Length_mm,Price_EUR,Source,Notes
maxon-hej-70-48-60-gbx,Maxon,HEJ 70-48-60 (gearbox),extracted,maxon-hej-70-48-60,planetary,,,,,27,63,,,88,77,,maxon datasheet HEJ 70-48-60 rev1.2,Torque cols = parent actuator output (integrated limit).
maxon-hej-90-48-140-gbx,Maxon,HEJ 90-48-140 (gearbox),extracted,maxon-hej-90-48-140,planetary,,,,,75,140,,,108,90,,maxon datasheet HEJ 90-48-140 rev2.3,Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt38s-wga14-gbx,Maxon,HPJ DT38S-WGA14 (gearbox),extracted,maxon-hpj-dt38s-wga14,strain_wave,14,,,,,12,,,74,74,,maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt38m-wgu14-gbx,Maxon,HPJ DT38M-WGU14 (gearbox),extracted,maxon-hpj-dt38m-wgu14,strain_wave,14,,,,,23,,,74,86,,maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt50s-wga20-gbx,Maxon,HPJ DT50S-WGA20 (gearbox),extracted,maxon-hpj-dt50s-wga20,strain_wave,20,,,,,39,,,94,81,,maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt50m-wgu20-gbx,Maxon,HPJ DT50M-WGU20 (gearbox),extracted,maxon-hpj-dt50m-wgu20,strain_wave,20,,,,,27,,,94,86,,maxon robotics flyer rev1.6 (joint) + EC frameless DT brochure Jul2025 (motor Kt/R),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt65s-wga25-gbx,Maxon,HPJ DT65S-WGA25 (gearbox),extracted,maxon-hpj-dt65s-wga25,strain_wave,25,,,,,69,,,114,90,,motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt65m-wgu25-gbx,Maxon,HPJ DT65M-WGU25 (gearbox),extracted,maxon-hpj-dt65m-wgu25,strain_wave,25,,,,,127,,,114,100,,motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt85m-wga32-gbx,Maxon,HPJ DT85M-WGA32 (gearbox),extracted,maxon-hpj-dt85m-wga32,strain_wave,32,,,,,151,,,146,107,,motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED),Torque cols = parent actuator output (integrated limit).
maxon-hpj-dt85l-wgu32-gbx,Maxon,HPJ DT85L-WGU32 (gearbox),extracted,maxon-hpj-dt85l-wgu32,strain_wave,32,,,,,281,,,146,120,,motor: maxon EC frameless DT brochure Jul2025 (verified); joint: prior DB (UNVERIFIED),Torque cols = parent actuator output (integrated limit).
cubemars-ak60-6-v3-0-kv80-gbx,CubeMars,AK60-6 V3.0 KV80 (gearbox),extracted,cubemars-ak60-6-v3-0-kv80,planetary,6,,,,3,9,,,79,43,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak70-10-kv100-gbx,CubeMars,AK70-10 KV100 (gearbox),extracted,cubemars-ak70-10-kv100,planetary,10,,,,8.3,24.8,,,89,50.25,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak80-6-kv100-gbx,CubeMars,AK80-6 KV100 (gearbox),extracted,cubemars-ak80-6-kv100,planetary,6,,,,6,12,,,98,38.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak80-9-v3-0-kv100-gbx,CubeMars,AK80-9 V3.0 KV100 (gearbox),extracted,cubemars-ak80-9-v3-0-kv100,planetary,9,,,,9,22,,,98,38.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak10-9-v3-0-kv60-gbx,CubeMars,AK10-9 V3.0 KV60 (gearbox),extracted,cubemars-ak10-9-v3-0-kv60,planetary,9,,,,18,53,,,98,61.7,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak10-9-v2-0-kv60-gbx,CubeMars,AK10-9 V2.0 KV60 (gearbox),extracted,cubemars-ak10-9-v2-0-kv60,planetary,9,,,,18,48,,,98,61.7,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak80-8-kv60-gbx,CubeMars,AK80-8 KV60 (gearbox),extracted,cubemars-ak80-8-kv60,planetary,8,,,,10,25,,,98,43.9,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak80-64-kv80-gbx,CubeMars,AK80-64 KV80 (gearbox),extracted,cubemars-ak80-64-kv80,planetary,64,,,,48,120,,,98,61.9,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak70-9-v3-0-kv60-gbx,CubeMars,AK70-9 V3.0 KV60 (gearbox),extracted,cubemars-ak70-9-v3-0-kv60,planetary,9,,,,8.5,29.2,,,89,49,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak60-39-v3-0-kv80-gbx,CubeMars,AK60-39 V3.0 KV80 (gearbox),extracted,cubemars-ak60-39-v3-0-kv80,planetary,39,,,,24,72,,,79,67,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak45-36-v3-0-kv80-gbx,CubeMars,AK45-36 V3.0 KV80 (gearbox),extracted,cubemars-ak45-36-v3-0-kv80,planetary,36,,,,8,24,,,55,56.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak45-10-v3-0-kv75-gbx,CubeMars,AK45-10 V3.0 KV75 (gearbox),extracted,cubemars-ak45-10-v3-0-kv75,planetary,10,,,,2.5,7,,,53,45.2,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak40-10-v3-0-kv170-gbx,CubeMars,AK40-10 V3.0 KV170 (gearbox),extracted,cubemars-ak40-10-v3-0-kv170,planetary,10,,,,1.3,4.1,,,53,40.2,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak60-6-v1-1-kv80-gbx,CubeMars,AK60-6 V1.1 KV80 (gearbox),extracted,cubemars-ak60-6-v1-1-kv80,planetary,6,,,,3,9,,,79,39.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ak60-6-v1-1-kv140-gbx,CubeMars,AK60-6 V1.1 KV140 (gearbox),extracted,cubemars-ak60-6-v1-1-kv140,planetary,6,,,,3,9,,,79,39.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-akh70-48-v1-0-kv41-gbx,CubeMars,AKH70-48 V1.0 KV41 (gearbox),extracted,cubemars-akh70-48-v1-0-kv41,planetary,48,,,,74,222,,,90,81.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-akh70-16-v1-0-kv41-gbx,CubeMars,AKH70-16 V1.0 KV41 (gearbox),extracted,cubemars-akh70-16-v1-0-kv41,planetary,16,,,,26,78,,,90,60.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-aka10-9-kv60-gbx,CubeMars,AKA10-9 KV60 (gearbox),extracted,cubemars-aka10-9-kv60,planetary,9,,,,18,53,,,100,70,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-aka60-6-kv80-gbx,CubeMars,AKA60-6 KV80 (gearbox),extracted,cubemars-aka60-6-kv80,planetary,6,,,,3,9,,,80,51.2,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ake90-8-kv35-gbx,CubeMars,AKE90-8 KV35 (gearbox),extracted,cubemars-ake90-8-kv35,planetary,8,,,,55,170,,,107.5,43.5,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ake80-8-kv30-gbx,CubeMars,AKE80-8 KV30 (gearbox),extracted,cubemars-ake80-8-kv30,planetary,8,,,,12,30,,,87,32,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
cubemars-ake60-8-kv80-gbx,CubeMars,AKE60-8 KV80 (gearbox),extracted,cubemars-ake60-8-kv80,planetary,8,,,,5,12.5,,,69,25,,https://www.cubemars.com/,Torque cols = parent actuator output (integrated limit).
