layer,manufacturer,model,product_url,datasheet_url,datasheet_local,price_EUR,price_source,Voltage_V,Rated_Torque_Nm,Peak_Torque_Nm,Rated_Speed_RPM,No_Load_Speed_RPM,Rated_Current_A,Peak_Current_A,Weight_kg,Diameter_mm,Length_mm,Reducer_or_Ratio,Kt_raw_Nm_per_A,Kt_ref,Kv_raw_rpm_per_V,Ke_raw,Ke_unit,R_phase_to_phase_ohm,L_phase_to_phase_H,Rotor_Inertia_kgm2,Km_Nm_per_sqrtW,Mech_Time_Const_ms,Elec_Time_Const_ms,Backdrive_Torque_Nm,Pole_Pairs,Winding,Insulation_Class,Operating_Temp_C,IP,Communication,Notes,Source
motor,CubeMars,GL30 KV290,https://www.cubemars.com/product/gl30-kv290-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl30-gimbal-motor-with-encoder-2d-drawing.pdf,datasheets/cubemars-rich/gl30-gimbal-motor-2d-drawing.pdf,45,$50.99 USD (cubemars.com) x0.876,12,0.08,0.28,1990,3060,2.13,7.4,0.041,34.5,15.7,none (direct drive),0.038,terminal_ll,255,3.73,V/krpm,1.53,0.00033,2.42e-06,0.0307212,2.56,0.22,,7,star,H,-20 to 50,IP45,,"Gimbal, 6mm bore. Model title KV290 but spec Kv=255. R=phase-to-phase. Dielectric 500V. Encoder optional. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL35 KV100,https://www.cubemars.com/product/gl35-kv100-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl35-gimbal-motor-no-encoder-2d-drawing.pdf,datasheets/cubemars-rich/gl35-gimbal-motor-2d-drawing.pdf,48,$54.99 USD (cubemars.com) x0.876,16,0.15,0.46,815,1320,1.3,4,0.09,41.8,21,none (direct drive),0.115,terminal_ll,82.5,11.54,V/krpm,3.6,0.0021,6.1e-06,0.0606103,1.66,0.58,,7,star,H,-20 to 50,IP45,,"Gimbal, 6mm bore. Model title KV100 but spec Kv=82.5. R=phase-to-phase. Dielectric 500V. Encoder optional. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL40 KV70,https://www.cubemars.com/product/gl40-kv70-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl40-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl40-gimbal-motor-2d-drawing.pdf,64,$72.99 USD (cubemars.com) x0.876,16,0.25,0.5,430,1015,1.62,3.3,0.107,46.5,21.5,none (direct drive),0.15,terminal_ll,63.5,15,V/krpm,4.5,0.0018,7.4e-06,0.0707107,1.48,0.4,,14,star,H,-20 to 50,IP45,,"Gimbal, 8mm bore. KV70 winding variant (spec Kv=63.5). R=phase-to-phase. Dielectric 500V. Page also lists KV210 variant (separate row). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL40 KV210,https://www.cubemars.com/product/gl40-kv70-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl40-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl40-gimbal-motor-2d-drawing.pdf,64,$72.99 USD (cubemars.com) x0.876,16,0.25,0.75,2100,3120,4.9,14.9,0.107,46.5,21.5,none (direct drive),0.05,terminal_ll,195,4.88,V/krpm,0.5,0.00018,7.4e-06,0.0707107,1.48,0.36,,14,star,H,-20 to 50,IP45,,"Gimbal, 8mm bore. KV210 winding variant of GL40 (spec Kv=195); same page/price as KV70. R=phase-to-phase. Dielectric 500V. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL60 KV25,https://www.cubemars.com/product/gl60-kv25-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl60-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl60-gimbal-motor-2d-drawing.pdf,95,$108.99 USD (cubemars.com) x0.876,24,0.6,1.75,310,516,1.35,4,0.23,69,22.3,none (direct drive),0.45,terminal_ll,21.5,44.3,V/krpm,5.5,0.00272,3.55e-05,0.191881,0.96,0.49,,14,star,H,-20 to 50,IP45,,"Gimbal, 20mm bore. Model title KV25 but spec Kv=21.5. R=phase-to-phase. Dielectric 500V. Page also lists KV55 variant (separate row). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL60 KV55,https://www.cubemars.com/product/gl60-kv25-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl60-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl60-gimbal-motor-2d-drawing.pdf,95,$108.99 USD (cubemars.com) x0.876,24,0.6,1.75,840,1140,2.93,8.9,0.226,69,22.3,none (direct drive),0.205,terminal_ll,47.5,20.05,V/krpm,1.2,0.0009,3.55e-05,0.187139,1.01,0.75,,14,star,H,-20 to 50,IP45,,"Gimbal, 20mm bore. KV55 winding variant of GL60 (spec Kv=47.5); same page/price as KV25. R=phase-to-phase. Dielectric 500V. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL80 KV30,https://www.cubemars.com/product/gl80-kv30-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl80-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl80-gimbal-motor-2d-drawing.pdf,159,$181.99 USD (cubemars.com) x0.876,24,1,2.9,450,650,2.8,8.2,0.315,87,22.3,none (direct drive),0.356,terminal_ll,27,35.27,V/krpm,1.8,0.0011,6.5e-05,0.265347,0.92,0.61,,21,star,H,-20 to 50,IP45,,"Gimbal, 30mm bore. Model title KV30 but spec Kv=27. R=phase-to-phase. Dielectric 1000V. Page also lists KV60 variant (separate row). Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL80 KV60,https://www.cubemars.com/product/gl80-kv30-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl80-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl80-gimbal-motor-2d-drawing.pdf,159,$181.99 USD (cubemars.com) x0.876,24,1,2.9,1010,1300,5.6,16.3,0.312,87,22.3,none (direct drive),0.178,terminal_ll,54.5,17.47,V/krpm,0.45,0.00027,6.5e-05,0.265347,0.92,0.6,,21,star,H,-20 to 50,IP45,,"Gimbal, 30mm bore. KV60 winding variant of GL80 (spec Kv=54.5); same page/price as KV30. R=phase-to-phase. Dielectric 1000V. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL100 KV10,https://www.cubemars.com/product/gl100-kv10-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl100-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl100-gimbal-motor-2d-drawing.pdf,239,$272.99 USD (cubemars.com) x0.876,24,3,7.7,130,223,2.9,7.8,0.698,106.8,34.2,none (direct drive),1.03,terminal_ll,9.3,102.4,V/krpm,2.65,0.00235,0.000231,0.632724,0.58,0.89,,20,star,H,-20 to 50,IP45,,"Gimbal, 30mm bore. Model title KV10 but spec Kv=9.3. R=phase-to-phase. Dielectric 1000V. Currents ADC.",https://www.cubemars.com/
motor,CubeMars,GL40 II KV82.5,https://www.cubemars.com/product/gl40-II-kv82-5-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/GL40-ii-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl40-ii-gimbal-motor-2d-drawing.pdf,117,$133.99 USD (cubemars.com) x0.876,16,0.25,0.68,697,1388,1.88,5.22,0.125,46.1,33.5,none (direct drive),0.11,terminal_ll,82.5,0.0115,V/krpm,3,0.00132,7.945e-06,0.06392,2.045,0.44,,14,star,H,-20 to 50,,,"GL II series, 12.5mm hollow shaft. Ke printed '0.0115 V/krpm' - units-slip typo (should be ~11.5 V/krpm). Rated power 19W. Cogging 0.7 cNm. R=phase-to-phase. Dielectric 500V. Currents ADC. Has GL II integrated driver (separate).",https://www.cubemars.com/
motor,CubeMars,GL60 II KV28,https://www.cubemars.com/product/gl60-II-kv28-gimbal-motor.html,https://www.cubemars.com/data/cms/202602/gl60-ii-gimbal-motor-2d-drawing.pdf,datasheets/cubemars-rich/gl60-ii-gimbal-motor-2d-drawing.pdf,146,$166.99 USD (cubemars.com) x0.876,24,0.6,1.5,319,,1.54,4.09,0.276,70.5,33.6,none (direct drive),0.34,terminal_ll,28,,,5.8,0.006,4.01086e-05,,,,,28,,,,,,"GL II series, config 24N28P (28 pole pairs), 20mm bore. Values@24V (16V: rated I 1.56A, rated speed 153, no-load 448, peak torque 1.0Nm). R labeled 'Winding Resistance' 5.8ohm (5800 mOhm), 'Line Inductance' 6mH. Ke/Km/time-constants/winding type/insulation/op-temp NOT published. Cogging 1.5 cNm. Copper wire level E, enamel level H. Currents in A.",https://www.cubemars.com/
